sportsplayed, facilitycondition, postcode, objectid, suburbtown, facilityage
"Fitness / Gymnasium Workouts","4. Good",3797,9292,"YARRA JUNCTION","11 - 25 Years"
"Golf",null,3116,9293,"CHIRNSIDE PARK",null
"Golf",null,3136,9294,"CROYDEN",null
"Golf",null,3777,9295,"HEALESVILLE",null
"Golf",null,3788,9296,"OLINDA",null
"Golf","4. Good",3799,9297,"WARBURTON","26 - 50 Years"
"Gymnastics",null,3140,9298,"LILYDALE",null
"Lawn Bowls",null,3116,9299,"CHIRNSIDE PARK",null
"Lawn Bowls","2. Poor",3777,9300,"HEALESVILLE","26 - 50 Years"
"Lawn Bowls","3. Average",3137,9301,"KILSYTH","26 - 50 Years"
"Lawn Bowls",null,3140,9302,"LILYDALE",null
"Lawn Bowls","4. Good",3793,9303,"MONBULK","26 - 50 Years"
"Lawn Bowls","4. Good",3158,9304,"UPWEY","26 - 50 Years"
"Lawn Bowls","4. Good",3799,9305,"WARBURTON","26 - 50 Years"
"Lawn Bowls","3. Average",3775,9306,"YARRA GLEN","26 - 50 Years"
"Lawn Bowls","3. Average",3797,9307,"YARRA JUNCTION","26 - 50 Years"
"Motor Sports","4. Good",3140,9308,"LILYDALE","11 - 25 Years"
"Netball","3. Average",3160,9309,"BELGRAVE SOUTH","26 - 50 Years"
"Netball","2. Poor",3138,9310,"MOOROOLBARK","26 - 50 Years"
"Netball","3. Average",3793,9311,"MONBULK","26 - 50 Years"
"Netball","4. Good",3765,9312,"MONTROSE","6 - 10 Years"
"Netball","4. Good",3796,9313,"MOUNT EVELYN","6 - 10 Years"
"Netball","4. Good",3796,9314,"MOUNT EVELYN","0 - 5 Years"
"Netball","4. Good",3788,9315,"OLINDA","0 - 5 Years"
"Netball","3. Average",3797,9316,"POWELLTOWN","26 - 50 Years"
"Netball",null,3139,9317,"SEVILLE",null
"Netball","2. Poor",3795,9318,"SILVAN","26 - 50 Years"
"Netball","2. Poor",3158,9319,"UPWEY","11 - 25 Years"
"Netball","5. Very Good",3139,9320,"WANDIN NORTH","0 - 5 Years"
"Netball","5. Very Good",3799,9321,"WARBURTON","0 - 5 Years"
"Netball","2. Poor",3799,9322,"WESBURN","26 - 50 Years"
"Netball","2. Poor",3139,9323,"WOORI YALLOCK","6 - 10 Years"
"Netball","4. Good",3775,9324,"YARRA GLEN","0 - 5 Years"
"Netball","4. Good",3797,9325,"YARRA JUNCTION","0 - 5 Years"
"Netball",null,3212,3314,"LARA",null
"Netball (Indoor)","4. Good",3797,9326,"YARRA JUNCTION","11 - 25 Years"
"Sailing",null,3156,9327,"LYSTERFIELD",null
"Shooting Sports",null,3775,9328,"DIXONS CREEK",null
"Shooting Sports",null,3156,9329,"LYSTERFIELD",null
"Skating","2. Poor",3777,9330,"HEALESVILLE","11 - 25 Years"
"Skating","4. Good",3140,9331,"LILYDALE","6 - 10 Years"
"Skating","3. Average",3793,9332,"MONBULK","6 - 10 Years"
"Skating","4. Good",3796,9333,"MOUNT EVELYN","0 - 5 Years"
"Skating","3. Average",3158,9334,"UPWEY","6 - 10 Years"
"Skating","3. Average",3775,9335,"YARRA GLEN","6 - 10 Years"
"Skating","4. Good",3797,9336,"YARRA JUNCTION","6 - 10 Years"
"Soccer","2. Poor",3793,9337,"MONBULK","26 - 50 Years"
"Soccer","2. Poor",3777,9338,"HEALESVILLE","26 - 50 Years"
"Soccer","4. Good",3138,9339,"MOOROOLBARK","26 - 50 Years"
"Soccer","2. Poor",3766,9340,"KALORAMA","26 - 50 Years"
"Soccer","2. Poor",3765,9341,"MONTROSE","26 - 50 Years"
"Soccer","2. Poor",3159,9342,"MENZIES CREEK","26 - 50 Years"
"Soccer","3. Average",3799,9343,"MILLGROVE","26 - 50 Years"
"Soccer","4. Good",3793,9344,"MONBULK","26 - 50 Years"
"Soccer","4. Good",3796,9345,"MOUNT EVELYN","26 - 50 Years"
